COURSE PREFIX,COURSE NUMBER,NAME,CREDITS,DESCRIPTION,PREREQUISITE,RESTRICTION,FORMERLY NAMED,RECOMMENDED,CREDIT ONLY GRANTED FOR,REPEATABLE TO,CROSS-LISTED,COREQUISITE
AASP,AASP297,Research Methods in African American Studies,3,"Introduces African American Studies majors to the basic research skills, methodologies, sources, and repositories for studying African Diaspora. Students will be required to select a research topic, write a research proposal, develop an annotated bibliography, and in the process will be prepared for completing their senior thesis or other significant writing projects necessary to fulfill the requirements of the major.",AASP101 or AASP202,Must be in African American Studies program,,,AASP297 or AASP299R,,,
AASP,AASP298,Special Topics in African American Studies,3,"An introductory multi-disciplinary and inter-disciplinary educational experience to explore issues relevant to black life, cultural experiences, and political, economic, and artistic development.",,,,,,6 credits if content differs,,
AASP,AASP298C,African Civilization to 1800,3,"Survey of the principal developments in the history and culture of the peoples of African descent in colonial North America and the United States to 1865. Examines the African past, the Atlantic slave trade, variation in slavery, the growth of free black communities, the transformations of families and cultural forms, and patterns of resistance.Cross-listed with: HIST254.",,,,,HIST254 or AASP298C,,,
AASP,AASP298L,African-American Literature and Culture,3,"An exploration of the stories black authors tell about themselves, their communities, and the nation as informed by time and place, gender, sexuality, and class. African American perspective themes such as art, childhood, sexuality, marriage, alienation and mortality, as well as representations of slavery, Reconstruction, racial violence and the Nadir, legalized racism and segregation, black patriotism and black ex-patriots, the optimism of integration, and the prospects of a post-racial America.Cross-listed with: ENGL234.",,,,,ENGL234 or AASP298L,,,
AASP,AASP298M,Martin Luther King Jr.,3,"Examines the life and work of Martin Luther King, Jr. We immediately rethink the image of King who liberals and conservatives construct as a dreamer of better race relations. We engage the complexities of an individual, who articulated a moral compass of the nation, to explore racial justice in post-World War II America. This course gives special attention to King's post-1965 radicalism when he called for a reordering of American society, an end to the war in Vietnam, and supported sanitation workers striking for better wages and working conditions. Topics include King's notion of the ""beloved community"", the Social Gospel, liberalism, ""socially conscious democracy"", militancy, the politics of martyrdom, poverty and racial justice, and compensatory treatment. Primary sources form the core of our readings.Cross-listed with: HIST108C, AMST189C.",,,,,"HIST108C, AASP298M, or AMST189C",,,
AASP,AASP299,Selected Topics in African American Studies,1-3,"An introductory multi-disciplinary academic exploration of the cultural, political, and economic issues relevant to Africans and African-Americans.",,,,,,6 credits if content differs,,
AASP,AASP301,Applied Policy Analysis and the Black Community,3,Development and application of the tools needed for examining the effectiveness of alternative policy options confronting minority communities. Review policy research methods used in forming and evaluating policies. Examination of the policy process.,AASP101,,,Completion of one semester of statistics is recommended,,,,
AASP,AASP303,Computer Applications in African American Studies,3,Introduction to statistics and database processing software used in model estimation and simulation in policy analysis. Special emphasis on applications for applied research on policy problems confronting minority communities.,"STAT100, MATH107, MATH111, or SOCY201; or students who have taken courses with comparable content may contact the department",,,,,,,
AASP,AASP305,"Theoretical, Methodological and Policy Research Issues in African American Studies",3,"Theories and concepts in the social and behavioral sciences relating to problems in minority communities. Issues include validity and soundness of theoretical arguments, epistemological questions of various methodologies and the relationship between policy making and policy research.","AASP301; and (STAT100, MATH111, PSYC200, BMGT230, or SOCY201). Or students who have taken courses with comparable content may contact the department",,,,,,,
AASP,AASP310,African Slave Trade,3,The relationship of the slave trade of Africans to the development of British capitalism and its industrial revolution; and to the economic and social development of the Americas.,AASP202 or AASP100; or permission of BSOS-African American Studies department,,,,,,,
AASP,AASP313,Black Women in United States History,3,"Black American women's history from slavery to the present. Focused on gaining a fuller understanding of the effect of race, class and gender on the life cycles and multiple roles of Black women as mothers, daughters, wives, workers and social-change agents.",,Sophomore standing or higher.,,,"AASP313, WMST314 or WGSS314",,: WGSS314,
AASP,AASP314,The Civil Rights Movement,3,"Survey of the twentieth century civil rights movement from the desegregation of UM Law School through the National Black Political Congress in Gary in 1972. Major themes include leadership, legal and constitutional challenges, non-violence, Black Power, and Pan-Africanism.",AASP100 or HIST157,,,,,,,
AASP,AASP317,Black in Latin America and the Caribbean,3,"The goal of this course is to have an understanding of race, color, and blackness across the Americas. We will compare and contrast forms of racial categorization, discrimination, and ideologies, whether in the form of nation-building projects, addressing racial inequality, or sexuality and family formation. We will draw primarily on social science perspectives, including the work of sociologists and political scientists.",,,,,,,,
AASP,AASP320,Poverty and African American Children,3,"The United States has high levels of child poverty compared to other industrialized nations. Poverty rates are particularly high among African American children. This course focuses on how poverty and race intersect to influence the development of children and youth. Specific topics that we will consider include definitions of poverty, theories about the causes of poverty, racial disparities in child poverty, family functioning in the context of poverty, neighborhood influences, risk and protective processes, and social policies and programs designed to mitigate the impact of poverty.",,,,,AASP320 or AASP298P,,,
AASP,AASP358,Special Topics in Study Abroad III,1-6,Special topics course taken as part of an approved study abroad program.,,,,,,15 credits if content differs,,
AASP,AASP360,Issues in African Development,3,"An introduction to the study of development on the African continent. Students will have an opportunity to think critically about the ways in which Africa is portrayed in the academic literature, popular press, and media. Issues of focus include population dynamics, gender, health, migration, HIV/AIDS, and globalization with particular attention paid to the role of culture.",,,,,"AASP398D, GEOG398A, GVPT359F, SOCY398Y, or AASP360",,,
AASP,AASP361,Caribbean Women,3,"An interdisciplinary analysis of the lives and experiences of women across the Caribbean region, through an examination of their roles in individual, national, social and cultural formations. Special emphasis on contemporary women's issues and organizations.Cross-listed with: WGSS360.",,,,,"WGSS360, WMST360 or AASP361",,,
AASP,AASP371,Black Feminist Thought,3,"Examines the ideas, words and actions of Black women writers, speakers, artists, and activists in the United States.",1 course in AASP; or 1 course in WGSS.,,,,"WMST370, WGSS370 or AASP371",,: WGSS370,
AASP,AASP386,Experiential Learning,3-6,,,Permission of BSOS-African American Studies department; and junior standing or higher,,,,,,
AASP,AASP395,Fundamentals of Quantitative Research in Socio-Cultural Perspective,3,Introduction to quantitative methods for African American Studies majors in the cultural and social analysis concentration. Basics of survey design and experimental design and data analysis and use of statistical software programs.,,Must be in African American Studies program; and junior standing or higher,,,,,,
AASP,AASP396,Independent Study Non-Thesis Option,3,"A research seminar that allows African American Studies majors to complete an independent study research project in lieu of completing the AASP397: Senior Thesis. Students will examine various concepts of race, gender, labor and ethnicity in the seminar lecture component to be applied toward their specific research projects.",AASP386 and AASP297,Must be in African American Studies program,,,AASP396 or AASP397,,,
AASP,AASP397,Senior Thesis,3,Directed research in African American Studies resulting in the completion and defense of a senior thesis.,,Permission of BSOS-African American Studies department,,,,,,
AASP,AASP398,Selected Topics in the African Diaspora,3,Analysis of the historical experiences and cultures of Africans in the diaspora.,,,,,,6 credits if content differs,,
AASP,AASP399,Research in African-American Studies,1-3,"African American Studies research labs are the settings in which the most recent scholarly work of each faculty member takes place with the enterprise of conducting and disseminating research. Faculty members operate as the team leader and faculty mentor working with undergraduate students around a specific research topic or project. Students will have the opportunity to assist with reviewing literature, data gathering, data management, coding analysis, and the preparation of conference presentations and scholarly publications while advancing their own scholarship and interests, cultivating integrative skills, and gain training in a specialized aspect of the African American Studies discipline, which may not be otherwise available from other experiences on campus.","Two of the following courses: AASP100, AASP101, AASP200, or AASP202",Must be in the Africa-American Studies major; and must have completed 30 credits; and must have earned a minimum cumulative GPA of 2.00,,AASP210 or equivalent,,6 credits,,
AASP,AASP400,Directed Readings in African American Studies,3,The readings will be directed by the faculty of African American Studies. Topics to be covered will be chosen to meet the needs and interests of individual students.,AASP202 or AASP100,,,,,,,
AASP,AASP401,Research Directions in African-American Studies,3,"Utilizing a pro seminar format, this course offers an overview of recent research on the experiences of African Americans and the African diaspora. The course will cover selective topics from research portfolios of department faculty related to the status of African Americans and the diaspora across a number of topics. Students will read recent original research studies and discuss with the authors both the theoretical underpinnings of the research, the methods and evaluate the interpretations. This course fulfills the capstone requirement for African American studies majors and certificate students by providing an opportunity to consolidate and integrate a range of ideas encountered in the curriculum.",,Must have earned a minimum of 90 credits; and must be major in African-American Studies,,,,,,
AASP,AASP402,Classic Readings in African American Studies,3,"Classic readings of the social, economic and political status of blacks and other minorities in the United States and the Americas.",AASP202 or AASP100,,,,,,,
AASP,AASP411,Black Resistance Movements,3,A comparative study of the black resistance movements in Africa and America; analysis of their interrelationships as well as their impact on contemporary pan-Africanism.,AASP100,,,,,,,
AASP,AASP413,Gentrification: Have You Met the New Neighbors?: Issues of Belonging and Displacement in Urban Areas,3,"Explores and considers current scholarship on the history, modes and implications of the process of gentrification in various areas within the United States. The course will engage with history, culture, and policy factors related to the redevelopment of urban areas. Course texts will be interdisciplinary in their methodology and genre, and will include themes of race, gender, and class. These texts, combined with student engagement, class discussion, and directed assignments will help to develop a theoretical framework for the understanding of gentrification as systematic, profound and in most if not all cases, irreversibly detrimental.",,,,,,,,
AASP,AASP441,"Science, Technology, and the Black Community",3,"Scientific knowledge and skills in solving technological and social problems, particularly those faced by the black community. Examines the evolution and development of African and African American contributions to science. Surveys the impact of technological changes on minority communities.","HIST255, AASP202, or AASP100; or permission of BSOS-African American Studies department",,,,,,,
AASP,AASP443,Blacks and the Law,3,"The relationship between black Americans and the law, particularly criminal law, criminal institutions and the criminal justice system. Examines historical changes in the legal status of blacks and changes in the causes of racial disparities in criminal involvement and punishments.","HIST255, AASP202, or AASP100; or permission of BSOS-African American Studies department",,,,,,,
AASP,AASP468,Special Topics in Africa and the Americas,3,"Cultural, historical and artistic dimensions of the African experience in Africa and the Americas.",,,,,,6 credits if content differs,,
AASP,AASP478,Humanities Topics in African American Studies,3,"Advanced studies in the humanities, often requiring prerequisites, focusing on the literary, artistic and philosophical contributions of Africans and African Americans.",,,,,,6 credits if content differs,,
AASP,AASP479,Special Research in African-American Studies,1-9,Supervised research activity within the African American Studies Department. This course is for both majors and non-majors who seek to work for a faculty member on their research project(s) and/or work in their research lab as a Research Assistant (RA). The purpose of this course is to expose undergraduate students to theories and methods used to understand the lives and experiences of Black people across the diaspora via hands-on/applied research experience. A faculty member must agree to supervise your research activity before students can enroll for course credit.,,Permission of BSOS- African American Studies department; and sophomore standing or higher,,AASP210,,9 credits,,
AASP,AASP493,Feminist and Nationalist Thought in Black Communities,3,"The historical and theoretical foundations of feminist and nationalist thought in Black Communities will be examined. Further, we will discover why feminist and nationalist thought has been routinely ignored or misrepresented as disparate, if not oppositional, themes in Black intellectual and political life.",AASP101 or AASP100,,,,AASP493 or AASP499W,,,
AASP,AASP498,Special Topics in Black Culture,3,"Advanced study of the cultural and historical antecedents of contemporary African and African American society. Emphasis on the social, political, economic and behavioral factors affecting blacks and their communities. Topics vary.",AASP202 or AASP100,,,,,6 credits if content differs,,
AASP,AASP499,Advanced Topics in Public Policy and the Black Community,3,"Examination of specific areas of policy development and evaluation in black and other communities. Application of advanced tools of policy analysis, especially quantitative, statistical and micro-economic analysis.",AASP301; or permission of BSOS-African American Studies department,,,,,6 credits if content differs,,
AAST,AAST200,Introduction to Asian American Studies,3,"The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective.Cross-listed with: AMST298C.",,,,,AAST200 or AMST298C,,,
AAST,AAST201,Asian American History,3,"Introduction to the history of Asian Americans and Asians in the United States and the Americas and to the field of Asian American Studies, from an interdisciplinary perspective. Topics include theories of race and ethnicity; Asian migration and diaspora to the Americas; Asian American work and labor issues; gender, family, and communities; nationalism and nativism, and anti-Asian movements; Asian Americans in World War II, the Cold War, and the issues in the civil rights & post-civil rights era.Cross-listed with: HIST221.",,,,,AAST201 or HIST221,,,
AAST,AAST222,Immigration and Ethnicity in America,3,"The history of immigration and the development of diverse populations in the United States are examined. Topics include related political controversies, the social experiences of immigrants, ethnicity, generations, migration, inter-group relations, race and diversity in American culture.Cross-listed with: SOCY222.",,,,,"AAST222, HIST222, or SOCY222",,,
AAST,AAST233,Introduction to Asian American Literature,3,A survey of Asian American literature with an emphasis on recurrent themes and historical context.Cross-listed with: ENGL233.,,,,,ENGL233 or AAST233,,,
AAST,AAST262,Asian American Psychology,3,"An overview of how socio-cultural influences impact the development and psychological health of Asian Americans. Other topics include how minority group status, adaptation and identity development influence various aspects of psychological functioning; the role of historic systematic racism; and, how the COVID-19 pandemic has negatively impacted Asian Americans. Students develop a deeper understanding of the role of stereotypes and racism, acculturation, racial identity development, cultural values, gender socialization, behavioral norms, family roles, stressors and social support systems on the mental health, well-being and health of Asian Americans.Cross-listed with: PSYC262.",,,,,"PSYC262, AAST262 or PSYC489Z",,,
AAST,AAST298,Special Topics in Asian American Studies,3,"An introductory multidisciplinary and interdisciplinary educational experience to explore issues relevant to Asian American life, cultural experiences; and political, economic, and artistic development.",,,,,,6 credits if content differs,,
AAST,AAST310,Introduction to Comparative Ethnic and Racial Studies,3,"Introduces students to the study of race and ethnicity in the United States. The class is organized according to the following five units: (1) Introduction; (2) Key concepts; (3) Mechanisms of racial formation; (4) Prevailing myths about race; and (5) Contemporary issues related to race and ethnicity. Through readings, film clips, and presentations, we will explore how the concept of race has developed and endured over time and become familiar with key concepts, such as ""race"" and ""intersectionality"". We will attempt to better understand how race is associated with other forms of difference, such as class, gender and ethnicity. We will identify and confront the prevailing myths about race and ethnicity in the United States. Finally, we examine the ways in which contemporary issues reveal the dynamics of race and ethnicity.Cross-listed with: AMST310.",,,,,"AMST310, AAST398F, AAST310, or AMST328L",,,
AAST,AAST351,Asian Americans and Media,3,"From yellow peril invaders to model minority allies, Asian Americans have crafted their own dynamic cultural expressions in a number of media from film, television, and music to fashion, sports, and food that reveal and contest the contradictions of the U.S. nation-state. Asian American culture also uniquely sits at the nexus of immigration flows and digital technologies, providing a transnational lens to view the US place in the world. This advanced course, then, will introduce students to the study and practice of Asian American cyktyre as multiple , hybrid, and heterogeneous. It will do so through three sections: section one will introduce students to classical, cultural, and media concepts as well as relevant keywords outlined by Asian American Studies scholars; section two will review the work of Asian American cultural theorists; section three will focus on analyses of particular Asian American cultural productions. In doing so, students will gain an understanding of the shifting and interlocking tensions among the local, the national, and the global that form the cultural geographies of Asian America.",,,,,"AAST351, AAST398M or AAST398N",,,
AAST,AAST355,Asian Americans in Film,3,"Explores how Asian Americans have historically been represented in the U.S. by Hollywood, and in turn, how independent and Hollywood Asian American filmmakers have represented themselves. It covers the history of racial, gendered, and sexualized representations of Asian Americans in Hollywood, as well as Asian American filmic responses within and outside Hollywood. It also introduces how four basic tools of film analysis mise-en-scene, cinematography, editing and sound work together to create meaning in moving images. It examines how these elements are put together in three different types of films by Asian American filmmakers: narrative, documentary, and experimental. How films function in society to circulate ideas that reproduce and challenge stereotypes about Asian Americans.Cross-listed with: AMST328W.",,,,,"AAST355, AAST398L or AMST328W",,,
AAST,AAST363,Filipino American History and Biography,3,"Focus is placed on Filipino American experiences with an emphasis on identity, community building and organizing to influence public policy We will cover pertinent events from the US and Philippine history in order to understand the impact of colonialism, migration, immigration and assimilation on Filipino Americans.Cross-listed with: AMST323.",,,,,"AAST363, AMST323, AAST398D, or AMST328J",,,
AAST,AAST378,Experiential Learning,3,Field experience/internship in professional organizations and appropriate private and governmental agencies serving the Asian American community.,,Permission of UGST-Undergraduate Studies,,,,6 credits,,
AAST,AAST388,Independent Research,1-3,"Directed, independent study in Asian American Studies resulting in the completion of an original research paper.",,Permission of UGST-Undergraduate Studies,,,,6 credits if content differs,,
AAST,AAST394,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,3,"An interdisciplinary course examines the experiences of children of Asian immigrants in the U.S., focusing on intergenerational dynamics in the Asian immigrant family, their intersections with race, gender, class, sexuality, and religion, and how these shape second-generation Asian American life. Topics include identity and personhood, the model minority myth and education, work and leisure, language and communication, filiality and disownment, mental health and suicide.Cross-listed with: AMST324, IMMR394.",,,,,"AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394",,,
AAST,AAST398,Selected Topics in Asian American Studies,3,Study of a specific theme or issue involving the Asian America experience.,,,,,,6 credits if content differs,,
AAST,AAST420,Asian American Women: The Social Construction of Gender,3,"Examines the intersection of gender, race and class as it relates to Asian American women in the United States; how institutionalized cultural and social statuses of gender, race, ethnicity and social class produce and reproduce inequality with implications for Asian Americans and the broader society.",,Must not have completed WMST420.,,,"AAST420, WMST420 or WGSS420",,: WGSS420,
AAST,AAST421,Asian American Public Policy,3,"Using Asian Pacific Americans as a case study, this course will analyze the development of public policy in America. Each week, topics such as community development, voting rights, and the movement to redress the wartime internment of Japanese Americans will serve as backdrops for discussion. We will explore the policy-making roles of legislators, judges, local and national political leaders, journalists, writers, unions, social movements, and community organizations.Cross-listed with: AMST418N.",,,,,"AAST421, AAST498M or AMST418N",,,
AAST,AAST424,Sociology of Race Relations,3,"Analysis of race-related issues, with a primary focus on American society. The historical emergence, development, and institutionalization of racism; the impact of racism on its victims; and racially based conflict.",6 credits in SOCY courses; or permission of UGST-Undergraduate Studies.,,,,AAST424 or SOCY424,,: SOCY424,
AAST,AAST440,South Asian American Literature and Culture,3,"Examines writing by South Asian American authors and authors writing about South Asian American issues. It explores major South Asian diaspora themes, considering how migration, war, the events of 9/11, global capitalism, and the changing socio-political and racial scene have affected South Asians in the United States. We will use a transnational approach to consider how writers and filmmakers explore gender, class, religious, caste, and other differences amongst South Asian Americans. We will also examine the place of South Asian Americans in relation to other Asian American populations. We will consider how South Asian American texts disrupt traditional literary classifications based on national identities by reflecting the complex global conditions, imperialistic and capitalistic expansion, and interconnectedness of peoples, nations, and cultures that have transformed American literature and conceptions of American identity.",,,,,AAST440 or AAST498W,,,
AAST,AAST443,Asian American Politics,3,"Students will gain a greater understanding of 1) the role of Asian Americans in US politics, 2) the political attitudes and behaviors of Asian Americans and 3) how to conduct research on Asian American politics. Though the class will concentrate on Asian Americans, issues related to Asian American politics will be examined within the larger context of America's multicultural political landscape.Cross-listed with: AMST498J, GVPT368C.",,,,,"AAST498T, AAST443, GVPT368C or AMST 498J",,,
AAST,AAST498,Advanced Topics in Asian American Studies,3,"Advanced study of the cultural and historical antecedents of contemporary Asian American society. Emphasis on the social, political, economic, and behavioral factors affecting Asian Americans and their communities.",,,,,,6 credits if content differs,,
AAST,AAST499,Senior Thesis,3,"Under the supervision of faculty, research regarding a specific topic of the Asian American experience will be completed.",AAST201 and AAST200,Permission of UGST-Undergraduate Studies; and must be in Asian American Studies program,,,,6 credits if content differs,,
ABRM,ABRM330,Introduction to Anti-Black Racism,3,"This interdisciplinary course seeks to provide a broad overview of this rich and dynamic history. Built around the expertise of top UMD faculty in five colleges, this course will introduce students to the history and legacy of anti-Black racism from the perspective of multiple disciplines. In this course you will examine the development, spread, and articulations of anti-Black racism in the United States.",,,,,,,,
ABRM,ABRM450,Applied Anti-Black Racism,3,"The purpose of this course is to apply knowledge rooted in Anti-Black Racism to a real-world problem or issue within your chosen discipline or planned career path. You will meet with the course instructor and each other to discuss the readings, ideas and frameworks of anti-Black racism. The rest of the course will operate similar to an independent study; you will choose a mentor from your home department to work with on a self-directed, practice-oriented project. Beginning with a framework rooted in understanding anti-Black racism, you will identify issues of anti-Black racism specific to your discipline, select one of those issues within which to explore current solutions and their shortcomings, and draft a proposal that addresses the anti-Black racism embedded within the issue itself.",ABRM330,,,,,,,
AGNR,AGNR100,"Agriculture Discovery: An Educational Odyssey Exploring Food, Culture, and the Environment",3,"Explores the history, cultural impact, and current issues of agriculture. Students are exposed to the wide range of professional opportunities associated with the use of plants and animals in the production and processing of food for human consumption. Students learn from Agriculture and Natural Resources (AGNR) faculty and USDA collaborators through lectures, labs and field trips to facilities in the Baltimore-Washington area.",,,,,,,,
AGNR,AGNR200,AGNR 2+2 Program Extended Orientation Seminar,1,"Introduces AGNR 2+2 students to University and ""American"" life. Assists with their successful transition to the College and Agriculture and Natural Resources and the University of Maryland. Helps students to understand their place in AGNR at to learn about the resources available to them.",Must be a first semester international student enrolled in the AGNR 2+2 Program,Must be a first year international student enrolled in the College of Agriculture and Natural Resources 2+2 Program,,,,,,
AGNR,AGNR270,Technology Training Seminar,2-3,"A hands-on training seminar about pedagogical applications of information technology and mastery of several technical skills. Special emphasis is placed on gainfully understanding technological issues such as copyright and intellectual property, accessibility, and usability.",,Must be in a major in AGNR-College of Agriculture & Natural Resources; or permission of AGNR-College of Agriculture & Natural Resources,,,AGNR270 or BSCI279,,,
AGNR,AGNR301,Sustainability,3,Designed for students whose academic majors would be enhanced by the complementary study of a widely shared but hard-to-operationalize aspiration: that present choices should preserve or improve future options rather than foreclose or degrade them. How should we understand sustainability? How might we achieve it? How would we know if we had achieved it? And how could sustainability activists of a rising generation lead by example?Cross-listed with: PLCY301.,,,,,"AGNR301, PUAF301, or PLCY301",,,
AGNR,AGNR386,Experiential Learning,3-6,,,Permission of AGNR-College of Agriculture & Natural Resources,,,,,,
AGNR,AGNR388,Honors Thesis Research,3-6,Undergraduate honors thesis research conducted under the direction of an AGNR faculty member in partial fulfillment of the requirements of the College of AGNR Honors Program. The thesis will be defended to a faculty committee.,,Must be admitted to AGNR Honors program,,,,6 credits if content differs,,
AGNR,AGNR489,Field Experience,1-4,Credit according to time scheduled and organization of the course. A lecture series organized to study in depth a selected phase of agriculture not normally associated with one of the existing programs.,,Permission of AGNR-College of Agriculture & Natural Resources,,,,4 credits if content differs,,
AGNR,AGNR499,Special Problems,1-3,,,,,,,,,
AGST,AGST130,Did Yeast Create Civilization?,3,"Fermented foods have played a major role in the transition from nomadic to settled agrarian societies, the establishment of social and religious customs, the expansion of empires, and modern economies. To what extent are our past and current attitudes towards fermented foods rooted in historical and cultural imprints? Explore the central role of fermentation in human history and culture, the basic microbiological processes underlying fermentation processes, and the processes used to produce and distribute fermented foods. Find out how the fruits, grains, and dairy products used to produce fermented foods are grown and selected. Students will learn about the development and modern use of fermented dairy products, pickles, bread, tea, chocolate, wine, beer, distilled liquors, and pharmaceutical/manufactured products.",,,,"CHEM103, CHEM131, CHEM135, or CHEM146.",AGST130 or PLSC130,,: PLSC130,
AGST,AGST275,Fundamentals of Agricultural and Environmental Chemistry,3,"An in-depth discussion of chemistry targeted to students enrolled in plant and animal management curricula offered in AGNR. Covers the nomenclature and basic functional groups in organic chemistry, natural products and pesticides. Current practices of crop, agriculture and environmental management and genetic engineering also discussed.",CHEM131 and CHEM132; and (PLSC110 and PLSC111); or (PLSC112 and PLSC113); or (BSCI160 and BSCI161); or (BSCI170 and BSCI171); or PLSC100 or PLSC101,Must not have completed CHEM104 or CHEM105; and must be in a major within the AGNR-College of Agriculture and Natural Resources; or permission of instructor,,,AGST275 or PLSC275,,,
AGST,AGST333,Crafty Beverage Crops,3,"From soda to wine, a scientific introduction to ""crafty beverage crops"". Students will expand their horticulture knowledge and gain an appreciation for craft beverages and the plants that made them. Topics include history, biology, production and management techniques, harvest, storage and market potential for crafty beverage crops.",,,,"PLSC110 or PLSC112; or 1 course in BSCI, BCHM, BIOL",,,,
